x,y
1149,824
1149,824
475,649
488,659
503,673
515,683
521,699
539,722
547,738
536,758
595,753
612,791
615,795
651,802
659,807
669,821
713,816
728,818
751,818
777,815
804,817
825,813
847,811
841,822
903,817
929,809
964,802
984,802
1011,801
1056,796
1078,796
1106,803
1141,794
1182,782
1206,784
1204,789
1266,802
1274,802
1298,810
1315,841
1331,851
1333,856
1388,857
1400,863
1393,857
1392,860
1247,910
1231,905
1149,825
1182,911
1140,899
1112,898
1075,855
1018,896
985,898
972,898
924,907
1149,825
820,903
812,902
785,899
747,898
716,898
691,899
663,912
641,914
602,890
576,889
1149,825
544,882
536,894
535,893
525,880
571,857
591,838
606,832
612,831
1149,825
1149,825
1149,825
780,762
815,759
842,760
866,763
923,746
945,745
973,748
986,777
1000,783
970,793
969,793
955,802
955,805
983,801
902,819
891,826
890,831
866,871
846,880
803,892
